street,city,zip,merchid,busname
1243 North Highland Ave,Hollywood,90038,001,Jack In The Box
6407 W Sunset Blvd,Los Angeles,90028,002,Jack In The Box
5201 Wilshire Blvd,Los Angeles,90036,003,Jack In The Box
465 S Fairfax Ave,Los Angeles,90036,004,Jack In The Box
830 N Vermont Ave,Los Angeles,90029,005,Jack In The Box
459 S Vermont Ave,Los Angeles,90020,006,Jack In The Box
1906 Crenshaw Blvd,Los Angeles,90016,007,Jack In The Box
8605 W Pico Blvd,Los Angeles,90035,008,Jack In The Box
1900 W 6th St,Los Angeles,90057,009,Jack In The Box
2120 W Pico Blvd,Los Angeles,90006,010,Jack In The Box
1710 Glendale Blvd,Los Angeles,90026,011,Jack In The Box
2511 S Vermont Ave,Los Angeles,90007,012,Jack In The Box
5101 Jefferson Blvd,Los Angeles,90016,013,Jack In The Box
516 N Beaudry Ave,Los Angeles,90012,014,Jack In The Box
2921 S Figueroa St,Los Angeles,90007,015,Jack In The Box
1615 S Broadway,Los Angeles,90015,016,Jack In The Box
4210 Crenshaw Blvd,Los Angeles,90008,017,Jack In The Box
1441 W Martin Luther King Blvd,Los Angeles,90062,018,Jack In The Box
