street,city,zip,merchid,busname
3995 24th St,San Francisco,94114,10001,Starbucks
2727 Mariposa St,San Francisco,94110,10002,Starbucks
4094 18th St,San Francisco,94114,10003,Starbucks
2300 16th St,San Francisco,94103,10004,Starbucks
2020 Market St,San Francisco,94114,10005,Starbucks
350 Rhode Island St,San Francisco,94103,10006,Starbucks
5290 Diamond Heights Blvd,San Francisco,94131,10007,Starbucks
689 Townsend St,San Francisco,94103,10008,Starbucks
1298 Howard St,San Francisco,94103,10009,Starbucks
675 Townsend St,San Francisco,94103,10010,Starbucks
