street,city,zip,merchid,busname
3029 W 8TH ST, Los Angeles, 90005,, Taco Bell
2718 S FIGUEROA ST, Los Angeles, 90007,, Taco Bell
3629 S VERMONT AVE, Los Angeles, 90007,, Taco Bell
4050 MARLTON AVE, Los Angeles, 90008,, Taco Bell
1201 SANTEE ST, Los Angeles, 90015,, Taco Bell
2800 CRENSHAW BLVD, Los Angeles, 90016,, Taco Bell
3562 S LA CIENEGA BLVD, Los Angeles, 90016, Taco Bell
1604 S LA BREA AVE, Los Angeles, 90019,, Taco Bell
5406 WHITTIER BLVD, Los Angeles, 90022,, Taco Bell
10937 WEYBURN AVE, Los Angeles, 90024,, Taco Bell
990 N WESTERN AVE, Los Angeles, 90029,, Taco Bell
2628 S ROBERTSON BLVD, Los Angeles, 90034,, Taco Bell
6254 LEXINGTON AVE, Los Angeles, 90038,, Taco Bell
6242 LEXINGTON AVE, Los Angeles, 90038,, Taco Bell
2460 S ATLANTIC BLVD, Commerce, 90040,, Taco Bell
1734 COLORADO BLVD, Los Angeles, 90041,, Taco Bell
6060 N FIGUEROA ST, Los Angeles, 90042,, Taco Bell
6000 CRENSHAW BLVD, Los Angeles, 90043,, Taco Bell
5801 S VERMONT AVE, Los Angeles, 90044,, Taco Bell
5307 W CENTURY BLVD, Los Angeles, 90045,, Taco Bell
2046 W MANCHESTER AVE, Los Angeles, 90047,, Taco Bell
1408 W CENTURY BLVD, Los Angeles, 90047,, Taco Bell
8440 BEVERLY BLVD, Los Angeles, 90048,, Taco Bell
103 S RAMPART BLVD, Los Angeles, 90057,, Taco Bell
11758 WILMINGTON AVE, Los Angeles, 90059,, Taco Bell
12800 S FIGUEROA ST, Los Angeles, 90061,, Taco Bell
1401 W MARTIN LUTHER KING JR, Los Angeles, 90062,, Taco Bell
12011 VENICE BLVD, Los Angeles, 90066,, Taco Bell
7500 ATLANTIC AVE, Cudahy, 90201,, Taco Bell
1914 W ROSECRANS AVE, Compton, 90220,, Taco Bell
241 E COMPTON BLVD, Compton, 90220,, Taco Bell
4416 SEPULVEDA BLVD, Culver City, 90230,, Taco Bell
7127 FIRESTONE BLVD, Downey, 90241,, Taco Bell
11905 PARAMOUNT BLVD, Downey, 90242,, Taco Bell
1301 W ARTESIA BLVD, Gardena, 90248,, Taco Bell
14308 S WESTERN AVE, Gardena, 90249,, Taco Bell
2543 E SLAUSON AVE, Huntington Park, 90255,, Taco Bell
14327 PRAIRIE AVE, Lawndale, 90260,, Taco Bell
16901 HAWTHORNE BLVD, Lawndale, 90260,, Taco Bell
11001 ATLANTIC AVE, Lynwood, 90262,, Taco Bell
11255 LONG BEACH BLVD, Lynwood, 90262,, Taco Bell
301 N SEPULVEDA BLVD, Manhattan Beach, 90266,, Taco Bell
2201 ARTESIA BLVD, Redondo  Beach, 90278,, Taco Bell
4000 W CENTURY BLVD, Inglewood, 90304,, Taco Bell
1624 SANTA MONICA BLVD, Santa Monica, 90404,, Taco Bell
2207 LINCOLN BLVD, Santa Monica, 90405,, Taco Bell
1354 W 190TH ST, Torrance, 90501,, Taco Bell
921 SEPULVEDA BLVD, Torrance, 90502,, Taco Bell
16414 CRENSHAW BLVD, Torrance, 90504,, Taco Bell
2840 SEPULVEDA BLVD, Torrance, 90505,, Taco Bell
5125 PACIFIC COAST HWY, Torrance, 90505,, Taco Bell
10722 WHITTIER BLVD, Whittier, 90606,, Taco Bell
5502 LINCOLN AVE, Cypress, 90630,, Taco Bell
6827 KATELLA AVE, Cypress, 90630,, Taco Bell
1181 S BEACH BLVD, La Habra, 90631,, Taco Bell
1300 W WHITTIER BLVD, La Habra, 90631,, Taco Bell
241 S HARBOR BLVD, La Habra, 90631,, Taco Bell
14950 LEFFINGWELL RD, La Mirada, 90638,, Taco Bell
15006 LA MIRADA BLVD, La Mirada, 90638,, Taco Bell
1485 N MONTEBELLO BLVD, Montebello, 90640,, Taco Bell
14301 PIONEER BLVD, Norwalk, 90650,, Taco Bell
12503 ALONDRA BLVD, Norwalk, 90650,, Taco Bell
9180 WHITTIER BLVD, Pico Rivera, 90660,, Taco Bell
11570 TELEGRAPH RD, Santa Fe Springs, 90670,, Taco Bell
10551 CARMENITA RD, Santa Fe Springs, 90670,, Taco Bell
10360 BEACH BLVD, Stanton, 90680,, Taco Bell
